section,A_mm2,Ix_mm4,Iy_mm4,We_x_mm3,Wp_x_mm3,Me_x_kNm,Mp_x_kNm,shape_x,We_y_mm3,Wp_y_mm3,Me_y_kNm,Mp_y_kNm,shape_y,x_c_mm,y_c_mm
Built-up I,15600,1426880000.0,46730000.0,2853760.0,4164000.0,1013.0848,1478.22,1.4591276070867907,311533.3333333333,519000.0,110.59433333333332,184.245,1.6659533490263214,,
CHS+2×UPE L-R,23044.423783197108,206760788.7199235,682479029.9199235,1280252.5617332724,1645068.0,454.4896594153117,583.99914,1.284955835411742,2547514.109443537,3627856.0,904.3675088524557,1287.88888,1.4240769016947452,217.9,
CHS+2×UPE T-B,23044.423783197108,617135239.9199235,145000788.7199235,1812970.7400702809,3316556.0,643.6046127249497,1177.37738,1.8293488839601635,897837.7010521579,1323411.75,318.7323838735161,469.81117125,1.4739988624326206,,190.4
